time,x1,x2,x3,x4,u,tracking_error,control_effort,chattering_metric
0.0,0.0,0.05,-0.03,0.0,-1.2684406996910718,0.05830951894845301,1.2684406996910718,0.0
0.01,0.0,0.05,-0.03,-0.007446194453182047,-1.191800999144125,0.05878304017175872,1.191800999144125,0.0
0.02,-7.446194453182048e-05,0.05020349443293155,-0.030136929234545886,-0.014449801900170513,-1.1194604099332384,0.06031109082499479,1.1194604099332384,0.0766397005469468
0.03,-0.0002189599635335256,0.050604711892399096,-0.030412712460133624,-0.021036695929157617,-1.0511676051416474,0.06267663411493116,1.0511676051416474,0.0744901448789167
0.04,-0.00042932692282510176,0.05119865819680081,-0.030829910131803452,-0.027231255504228308,-0.9866981026965331,0.0656773291009245,0.9866981026965331,0.07242436484980812
0.05,-0.0007016394778673849,0.051981083300546176,-0.03139171880852109,-0.03305652117756136,-0.9258526774325424,0.06914259845544599,0.9258526774325424,0.07043564924863466
0.06,-0.0010322046896429984,0.05294845187573773,-0.032101974296227076,-0.038534342061699506,-0.8684559326595407,0.07293857877969877,0.8684559326595407,0.06851760445170588
0.07,-0.0014175481102599934,0.05409791737371218,-0.032965157482456445,-0.0436855144483011,-0.8143550801586306,0.07696570591681577,0.8143550801586306,0.06666412783858851
0.08,-0.0018544032547430044,0.05542729939489942,-0.03398640283789418,-0.048529913241691536,-0.763418915441153,0.08115326479414582,0.763418915441153,0.06486937421892017
0.09,-0.00233970238715992,0.05693506421773483,-0.03517150957785803,-0.05308661730417616,-0.7155369736453508,0.08545349476483384,0.7155369736453508,0.06312772303123984
0.1,-0.0028705685602016815,0.05862030835854706,-0.03652695549343204,-0.057374029729269825,-0.6706188548829314,0.08983639841903873,0.6706188548829314,0.06143374733841343
0.11,-0.00344430885749438,0.060482745054376424,-0.03805991347834909,-0.061409993996699795,-0.628593711418771,0.09428557731420344,0.628593711418771,0.05790912714013262
0.12,-0.004058408797461378,0.06252269357984266,-0.03977827079404344,-0.06521190692016057,-0.58940989240437,0.0987950480842747,0.58940989240437,0.05454074427938527
0.13,-0.0047105278666629835,0.0647410713277757,-0.0416906511318345,-0.06879682927413419,-0.5530347450536335,0.10336686848028942,0.5530347450536335,0.051306412526364156
0.14,-0.005398496159404326,0.06713938860164227,-0.043806439548226855,-0.07218159497876002,-0.5194545742543812,0.10800938876854939,0.5194545742543812,0.04818481751587774
0.15,-0.006120312109191926,0.06971974608613338,-0.046135810367089296,-0.07538291973144047,-0.4886747657585736,0.11273596941568229,0.4886747657585736,0.045155344797573466
0.16,-0.00687414130650633,0.07248483498091773,-0.04868975816129223,-0.07841751000088379,-0.4607200813975443,0.11756404018855648,0.4607200813975443,0.04219790743344079
0.17,-0.007658316406515168,0.07543793980182092,-0.05148013194654645,-0.08130217334448848,-0.4356351383386784,0.12251440710176312,0.4356351383386784,0.0392927776401207
0.18,-0.008471338139960052,0.07858294387389285,-0.05451967274203528,-0.08405393107485717,-0.4134850883598463,0.1276107389007853,0.4134850883598463,0.036420419678052735
0.19,-0.009311877450708625,0.08192433756233929,-0.057822054676347864,-0.08669013438795589,-0.3943565176006606,0.13287918405033028,0.3943565176006606,0.03356132058727828
0.2,-0.010178778794588183,0.08546722931052758,-0.06140192984363735,-0.08922858517689987,-0.3783585923695433,0.1383480835608564,0.3783585923695433,0.030695815253585643
0.21,-0.011071064646357182,0.08921735957969565,-0.0652749771443423,-0.09168766289505734,-0.36562448200635334,0.1440477555921251,0.36562448200635334,0.027803902116580854
0.22,-0.011987941275307754,0.0931811178131303,-0.06945795537780533,-0.09408645900169131,-0.35631308822249996,0.15001033559614094,0.35631308822249996,0.02486504559977963
0.23,-0.012928805865324668,0.09736556257901499,-0.07396876089139992,-0.09644492068294458,-0.35061096229990485,0.15626966151745483,0.35061096229990485,0.021857961870125946
0.24,-0.013893255072154113,0.1017784450810065,-0.07882649013346665,-0.09878400486198004,-0.3487305490585921,0.16286119729063953,0.3487305490585921,0.018760401328275153
0.25,-0.014881095120773914,0.10642823625391996,-0.0840515075124037,-0.10112582166411736,-0.35077755856891213,0.16982197792530934,0.35077755856891213,0.015549357411109058
0.26,-0.015892353337415087,0.11132415742537127,-0.08966551917654858,-0.1034930270708265,-0.3506968448839085,0.17719014335609337,0.3506968448839085,0.012670726872141361
0.27,-0.01692728360812335,0.11647620550385661,-0.09569165842509833,-0.1058739746430165,-0.06204170429674777,0.1849849490574362,0.06204170429674777,0.009892479163934443
0.28,-0.017986023354553515,0.12189475486830038,-0.1021548152896873,-0.1066369893106073,0.6065573797865451,0.19232493877969722,0.6065573797865451,0.039504155898193186
0.29,-0.019052393247659588,0.12757081581338836,-0.10909270529762033,-0.10363610916806307,0.5910233702306543,0.19818922323982466,0.5910233702306543,0.11166754626753843
0.3,-0.02008875433934022,0.13346984533708126,-0.11655932277916284,-0.1007458104511403,0.5606543975020601,0.20482566175995848,0.5606543975020601,0.11161600008140216
0.31,-0.02109621244385162,0.1396051675088167,-0.1245841502039455,-0.0980498362510719,0.5228367946216398,0.21229609945908606,0.5228367946216398,0.11357542923311373
0.32,-0.02207671080636234,0.14599160476262027,-0.1331982099175866,-0.0955900432226597,0.47701095863736376,0.2206357842911079,0.47701095863736376,0.11674278579939894
0.33,-0.023032611238588938,0.1526450024567585,-0.14243449471366218,-0.09341139662518833,0.4225407942996752,0.22987882081500305,0.4225407942996752,0.12120097580625239
0.34,-0.023966725204840823,0.1595823076276733,-0.15232810466803665,-0.09156239745481694,0.35870282275857124,0.2400592446131744,0.35870282275857124,0.12704428148362748
0.35000000000000003,-0.02488234917938899,0.1668216572526634,-0.1629163967074111,-0.09009557009462187,0.2846711338084299,0.25121218261862144,0.2846711338084299,0.13390994393149236
0.36,-0.02578330488033521,0.17438247731862191,-0.1742391486164249,-0.08906803370037214,0.1994991383090703,0.2633750609760902,0.1994991383090703,0.14212671896095208
0.37,-0.026673985217338932,0.18228559436118483,-0.18633873940465112,-0.08854217501134905,0.10209734882622756,0.2765888319467004,0.10209734882622756,0.11951748061786309
0.38,-0.027559406967452422,0.19055336144885496,-0.19926034828671993,-0.08858644449521877,-0.008793794696480672,0.29089920766393473,0.008793794696480672,0.05605111455114639
0.39,-0.028445271412404608,0.19920980095967872,-0.2130521749268181,-0.08927630309636062,-0.13463731312563487,0.3063579047449583,0.13463731312563487,0.06664635165857055
0.4,-0.029338034443368216,0.20828076694777642,-0.22776568407764308,-0.09069535370257853,-0.27714091147297215,0.32302391888519144,0.27714091147297215,0.07725463451418833
0.41000000000000003,-0.030244987980394003,0.21779413044073828,-0.24345587832188303,-0.09293670023812818,-0.43830813805373126,0.3409648625489182,0.43830813805373126,0.08888641178829021
0.42,-0.031174354982775286,0.2277799916681764,-0.26018160332443674,-0.09610458865435129,-0.6205022185214091,0.3602584123679046,0.6205022185214091,0.10170212185456612
0.43,-0.0321354008693188,0.2382709240236354,-0.27800589085482375,-0.10031639886801631,-0.8265261598411633,0.380993927059133,0.8265261598411633,0.1158936680912316
0.44,-0.03313856485799896,0.2493022555407452,-0.296996345878196,-0.10570507604688557,-1.0597238754950555,0.40327431317358875,1.0597238754950555,0.13169210917774826
0.45,-0.03419561561846782,0.26091239486320744,-0.3172255852866448,-0.1124221151535672,-1.3241086570109513,0.4272182368027336,1.3241086570109513,0.14937722325594283
0.46,-0.03531983677000349,0.27314321016208354,-0.33877173740971733,-0.12064124654348482,-1.6245274766123234,0.4529628070407902,1.6245274766123234,0.16928975503555796
0.47000000000000003,-0.03652624923543834,0.28604047127358945,-0.36171901338091667,-0.13056301577043944,-1.9668725954144568,0.48066689486375314,1.9668725954144568,0.19184720282650566
0.48,-0.03783187939314273,0.29965436758741554,-0.3861583638447666,-0.14242051197103214,-2.3583561288833934,0.5105153036981255,2.3583561288833934,0.21756431119088623
0.49,-0.039256084512853055,0.3140401170279747,-0.4121882374962015,-0.15648658255216233,-2.807869117252441,0.5427240817609847,2.807869117252441,0.24707986841752871
0.5,-0.04082095033837468,0.32925868499402267,-0.439915461720452,-0.17308298647153017,-3.3264550623905027,0.5775473706088042,3.3264550623905027,0.28119202286438544
0.51,-0.04255178020308998,0.3453776365604258,-0.46945627037193954,-0.192592097476535,-3.9279400453627336,0.615286333048655,3.9279400453627336,0.3209052138151968
0.52,-0.04447770117785533,0.36247215087200435,-0.5009375097947889,-0.21547199200091535,-4.629779328861821,0.6563009173512486,4.629779328861821,0.3674930918712583
0.53,-0.04663242109786448,0.38062623384017863,-0.5344980619495444,-0.2422760737984591,-5.454206784570113,0.7010255250330207,5.454206784570113,0.4225836854467398
0.54,-0.049055181835849074,0.39993417448861407,-0.5702905335217425,-0.27367884453825764,-6.429813443477351,0.7499901048421552,6.429813443477351,0.48827587878611745
0.55,-0.05179197028123165,0.42050230227637536,-0.6084832729109989,-0.3105100980758256,-7.593743055036144,0.8038488718813283,7.593743055036144,0.5673005318295999
0.56,-0.05489707126198991,0.4424511184331491,-0.6492627941094502,-0.3538008106106408,-8.994789648193809,0.8634198689163027,8.994789648193809,0.6632461753804245
0.5700000000000001,-0.05843507936809632,0.4659178951842753,-0.6928367092274085,-0.40484550807556113,-10.697839352684458,0.9297401435969755,10.697839352684458,0.7808796725310391
0.58,-0.06248353444885193,0.491059864835556,-0.739437302121046,-0.465288236065986,-12.79036170021771,1.0041437393715023,12.79036170021771,0.9266092470890072
0.59,-0.0671364168095118,0.5180581593190084,-0.7893259177984948,-0.5372430004234232,-15.392112608951624,1.0883735576131102,15.392112608951624,1.1091658425516966
0.6,-0.07250884681374603,0.5471227153737009,-0.8427984018580702,-0.6234657265877499,-18.67004359951961,1.1847444690515585,18.67004359951961,1.340628616284569
0.61,-0.07874350407962354,0.5784984405136102,-0.9001919112721702,-0.7276054180496562,-20.0,1.2963857861788188,20.0,1.6380115060174305
0.62,-0.0860195582601201,0.6124730581792766,-0.9618935513148695,-0.8386706230376545,-20.0,1.418143233036156,20.0,1.7078022967931308
0.63,-0.09440626449049665,0.649225439244902,-1.0283862511036799,-0.9491892831232693,-20.0,1.5456211665194457,20.0,1.6161992461588763
0.64,-0.10389815732172934,0.6888685867712513,-1.1002160542420085,-1.0591248312150499,-20.0,1.6785575745392929,20.0,1.5077985062802943
0.65,-0.11448940563387984,0.7315265722526295,-1.1779574362118168,-1.1684332832542377,-20.0,1.8168816716718441,20.0,1.3784729938848728
0.66,-0.12617373846642221,0.7773314347871241,-1.2621981322793412,-1.2770549486410783,-20.0,1.9606573996404693,20.0,1.222801150200688
